turns,white_rating,black_rating,opening_moves,victory_status_cod,winner_cod,time_increment_cod,opening_code_cod,opening_fullname_cod,opening_shortname_cod,opening_variation_cod,rated_cod
70,1475,1605,3,1,0,102,171,663,62,4,0
27,1570,1605,7,3,2,19,193,1018,101,143,0
102,1605,1500,1,3,0,19,2,61,9,612,0
21,1500,1605,9,3,2,19,198,298,36,248,0
33,1605,1500,1,3,2,19,2,61,9,612,0
74,1513,1605,5,3,0,19,193,1035,101,575,0
65,1790,1874,1,3,2,223,0,827,86,612,1
81,1864,1805,5,3,2,223,94,1221,109,141,1
45,1496,1861,3,3,0,223,41,458,50,549,1
52,1851,1853,8,3,2,223,218,1047,102,76,1
51,1861,1863,4,3,2,19,82,111,17,612,1
48,1618,1609,3,0,1,19,152,352,38,282,1
20,1620,1607,1,3,0,19,0,1433,121,612,1
50,1621,1496,5,1,0,19,99,1314,109,381,1
98,1633,1581,5,3,0,19,192,785,83,1,1
106,1623,1623,6,1,0,19,211,1072,102,148,1
19,1612,1614,5,3,2,19,201,462,52,612,1
22,1605,1624,8,3,2,19,201,495,52,211,1
114,1693,1621,4,0,1,19,343,460,50,592,1
69,1631,1684,4,3,0,19,117,1194,109,612,1
34,1636,1619,8,1,0,19,204,470,52,137,1
40,1613,1617,8,1,0,19,208,532,52,569,1
108,1627,1495,6,3,0,19,201,499,52,240,1
27,1480,1643,3,3,2,19,174,67,10,612,1
63,1631,1652,5,3,2,19,99,1314,109,381,1
31,1687,1641,5,3,2,19,195,843,87,612,1
71,1630,1638,6,3,2,19,206,463,52,47,1
92,1414,1624,6,1,0,19,211,1072,102,148,1
47,1619,1419,7,1,2,19,208,518,52,569,1
56,1629,1659,5,3,0,19,193,778,82,0,1
48,1649,1639,3,3,2,19,174,67,10,612,1
124,1677,1627,1,3,0,19,0,827,86,612,1
49,1705,1636,8,1,2,19,196,1154,106,137,1
64,1647,1635,13,3,0,19,150,1296,109,362,1
29,1637,1627,7,3,2,19,204,466,52,138,1
45,1626,1631,5,3,2,19,201,462,52,612,1
96,1602,1615,6,3,0,19,185,550,55,612,1
92,1634,1603,3,3,0,19,174,67,10,612,1
40,1611,1591,9,1,0,19,201,494,52,211,1
123,1579,1623,19,1,2,19,205,496,52,212,1
129,1995,1581,4,1,2,19,5,590,57,542,1
120,1589,1569,9,1,0,19,303,426,44,561,1
71,1570,1555,6,0,1,19,206,463,52,47,1
97,1559,1557,3,1,2,19,152,352,38,282,1
